Date,EUR=,return,direction,day_1,day_2,C1,C2,pr1,pr2,pos_clus,pr
2010-01-07,1.4318,-0.006543705911853551,-1,0.003057681326002957,-0.0029882922963807594,-1,-1,0.006543705911853551,0.006543705911853551,-1,0.006543705911853551
2010-01-08,1.4412,0.006543705911853539,1,-0.006543705911853551,0.003057681326002957,1,1,0.006543705911853539,0.006543705911853539,1,0.006543705911853539
2010-01-11,1.4513,0.0069836066023789955,1,0.006543705911853539,-0.006543705911853551,-1,-1,-0.0069836066023789955,-0.0069836066023789955,-1,-0.0069836066023789955
2010-01-12,1.4494,-0.0013100288011361565,-1,0.0069836066023789955,0.006543705911853539,-1,-1,0.0013100288011361565,0.0013100288011361565,-1,0.0013100288011361565
2010-01-13,1.4509999999999998,0.0011032962090066786,1,-0.0013100288011361565,0.0069836066023789955,-1,1,-0.0011032962090066786,0.0011032962090066786,1,0.0011032962090066786
2010-01-14,1.4502,-0.0005514959466954814,-1,0.0011032962090066786,-0.0013100288011361565,-1,1,0.0005514959466954814,-0.0005514959466954814,-1,0.0005514959466954814
2010-01-15,1.4382,-0.008309146269098707,-1,-0.0005514959466954814,0.0011032962090066786,-1,1,0.008309146269098707,-0.008309146269098707,1,-0.008309146269098707
2010-01-19,1.4298,-0.005857757335642198,-1,-0.008309146269098707,-0.0005514959466954814,1,1,-0.005857757335642198,-0.005857757335642198,1,-0.005857757335642198
2010-01-20,1.4101,-0.013873950489567091,-1,-0.005857757335642198,-0.008309146269098707,-1,1,0.013873950489567091,-0.013873950489567091,-1,0.013873950489567091
2010-01-21,1.409,-0.0007803909445041499,-1,-0.013873950489567091,-0.005857757335642198,1,1,-0.0007803909445041499,-0.0007803909445041499,1,-0.0007803909445041499
2010-01-22,1.4137,0.0033301479743066908,1,-0.0007803909445041499,-0.013873950489567091,-1,1,-0.0033301479743066908,0.0033301479743066908,-1,-0.0033301479743066908
2010-01-25,1.415,0.0009191502043512483,1,0.0033301479743066908,-0.0007803909445041499,-1,-1,-0.0009191502043512483,-0.0009191502043512483,-1,-0.0009191502043512483
2010-01-26,1.4073,-0.005456556074815971,-1,0.0009191502043512483,0.0033301479743066908,-1,-1,0.005456556074815971,0.005456556074815971,1,-0.005456556074815971
2010-01-27,1.4017,-0.00398718933351007,-1,-0.005456556074815971,0.0009191502043512483,-1,1,0.00398718933351007,-0.00398718933351007,1,-0.00398718933351007
2010-01-28,1.3962,-0.003931525132710837,-1,-0.00398718933351007,-0.005456556074815971,-1,1,0.003931525132710837,-0.003931525132710837,-1,0.003931525132710837
2010-01-29,1.3862,-0.007188070052416791,-1,-0.003931525132710837,-0.00398718933351007,-1,1,0.007188070052416791,-0.007188070052416791,-1,0.007188070052416791
2010-02-01,1.3927,0.004678118575162006,1,-0.007188070052416791,-0.003931525132710837,-1,1,-0.004678118575162006,0.004678118575162006,1,0.004678118575162006
2010-02-02,1.3961,0.0024383259355559963,1,0.004678118575162006,-0.007188070052416791,-1,1,-0.0024383259355559963,0.0024383259355559963,-1,-0.0024383259355559963
2010-02-03,1.3898,-0.004522783114375222,-1,0.0024383259355559963,0.004678118575162006,-1,-1,0.004522783114375222,0.004522783114375222,1,-0.004522783114375222
2010-02-04,1.3734,-0.01187043469365089,-1,-0.004522783114375222,0.0024383259355559963,-1,1,0.01187043469365089,-0.01187043469365089,1,-0.01187043469365089
2010-02-05,1.3662,-0.005256253888826952,-1,-0.01187043469365089,-0.004522783114375222,1,1,-0.005256253888826952,-0.005256253888826952,1,-0.005256253888826952
2010-02-08,1.3652,-0.0007322252651970324,-1,-0.005256253888826952,-0.01187043469365089,-1,1,0.0007322252651970324,-0.0007322252651970324,-1,0.0007322252651970324
2010-02-09,1.3789,0.009985141815143508,1,-0.0007322252651970324,-0.005256253888826952,-1,1,-0.009985141815143508,0.009985141815143508,-1,-0.009985141815143508
2010-02-10,1.3726,-0.00457932837316117,-1,0.009985141815143508,-0.0007322252651970324,-1,-1,0.00457932837316117,0.00457932837316117,-1,0.00457932837316117
2010-02-11,1.3681,-0.003283835548465807,-1,-0.00457932837316117,0.009985141815143508,1,1,-0.003283835548465807,-0.003283835548465807,1,-0.003283835548465807
2010-02-12,1.3615,-0.004835882812254272,-1,-0.003283835548465807,-0.00457932837316117,-1,1,0.004835882812254272,-0.004835882812254272,-1,0.004835882812254272
2010-02-16,1.3768,0.01117493278351543,1,-0.004835882812254272,-0.003283835548465807,-1,1,-0.01117493278351543,0.01117493278351543,1,0.01117493278351543
2010-02-17,1.3605,-0.011909686674028702,-1,0.01117493278351543,-0.004835882812254272,-1,-1,0.011909686674028702,0.011909686674028702,-1,0.011909686674028702
2010-02-18,1.3614,0.0006613027905500857,1,-0.011909686674028702,0.01117493278351543,1,1,0.0006613027905500857,0.0006613027905500857,1,0.0006613027905500857
2010-02-19,1.3615,7.345109996320621e-05,1,0.0006613027905500857,-0.011909686674028702,-1,1,-7.345109996320621e-05,7.345109996320621e-05,-1,-7.345109996320621e-05
2010-02-22,1.3597,-0.0013229459521739676,-1,7.345109996320621e-05,0.0006613027905500857,-1,1,0.0013229459521739676,-0.0013229459521739676,1,-0.0013229459521739676
2010-02-23,1.3505,-0.006789192928970013,-1,-0.0013229459521739676,7.345109996320621e-05,-1,1,0.006789192928970013,-0.006789192928970013,1,-0.006789192928970013
2010-02-24,1.3530000000000002,0.0018494549381179264,1,-0.006789192928970013,-0.0013229459521739676,-1,1,-0.0018494549381179264,0.0018494549381179264,1,0.0018494549381179264
